: homophones-analogy-type-I
caret carat manor manna
grieve greave rayed raid
duel joule payed paid
loos lose par pa
cere seer tire tyre
hertz hurts teas tees
bawled balled none nun
jinx jinks peddle pedal
cue queue guise guys
way weigh wheel weal
bate bait plumb plum
ide eyed seaman seamen
lei ley weald wheeled
carat karat rabbet rabbit
pallet palette welled weld
do due house hows
senses census precedents precedence
knead kneed saccharin saccharine
belle bell counselor councilor
rose roes weal wheel
galipot gallipot rite write
heir are cirrus cirrous
penned pend tear tier
chili chilly surf serf
ate eight new nu
ads adds caddy cadi
incompetents incompetence stayed staid
bailee bailey leaf lief
cist kissed leak leek
cruise crews sacques sacks
air are intents intense
kissed kist fluorescence florescence
bread bred please pleas
belle bel cede seed
dean dene stoup stoop
coffer cougher fowl foul
pa par prize prise
fear fere wheel we'll
leis leas worn warn
braes braise brake break
crews cruise lien lean
sign sine windless windlass
disperse disburse grip grippe
kart cart soke soak
based baste high hi
butt but whore haw
giro gyro were whir
sere sear til till
are air flue flu
foreword forward steel stele
aire are wale wail
grown groan seaman seamen
sheik chic wile while
bann ban pa pas
choral coral verst versed
past passed plantar planter
glair glare stator stater
impossible impassable toque toke
lough lock tor tore
salver salvor sort sought
click klick pa par
bred bread pea pe
jest gest variants variance
bin been viol vial
impatience impatiens strait straight
sensor censer rays raze
cession session heart hart
seel seal they're there
radical radicle wind wined
tensor tenser wade weighed
rabbet rabbit wheeled weald
lede lead mutuel mutual
sync cinque right write
horse hoarse prest pressed
beaut butte rues roos
cyst cist weight wait
oh owe teem team
heroin heroine minor miner
bred bread tees tis
picks pyx wynn win
nee knee load lode
overdo overdue pass parse
pour poor toughed tuft
flacks flax sewer sower
coy koi it's its
spay spae wiled whiled
clue clew foul fowl
lien lean patients patience
bight bite guarantee guaranty
quartz quarts quints quince
dyeing dying liter leader
floc flock reck wreck
are aire tael tale
apps apse chyle kill
brooch broach pend penned
faro pharaoh nae nay
bussed bused meting meeting
hae hey lay ley
fere fear torte taut
coolly coulis kyu cue
heir air karat carat
sou sault viol vile
packed pact wheel we'll
buyer byre joule duel
bee be principal principle
foreword foreward precedence precedents
cache cash presidents precedents
add ad psi xi
hows how's nous noose
cantor canter resonate resinate
frieze frees mazer maser
revue review spa spar
camera camara dyer dire
exult exalt lightening lightning
bowl boll slay sleigh
phase fays y'all yawl
gambol gamble intents intense
been bin bocks box
lei lay loathe loath
seer sere kneed need
cote coat grays graze
senses census disk disc
laze leys rax racks
road rode toxin tocsin
rein reign swat swot
pidgin pigeon wee we
stalk stork tach tack
filter philter rues ruse
aye ai crummie crumby
hey hae oke oak
booze boos xi scye
censor censer wite wight
gnar knar leid laid
jinx jinks lessor lesser
tarter tartar vial vile
laze lays tort torte
came kame sigh xi
jibe gibe hie high
bole bowl new gnu
eyrie aery earn urn
cist kissed frees freeze
gast gassed tee ti
dependents dependence disperse disburse
tees teas wack whack
allusion illusion peak pique
wracks rax staid stade
gofer gopher rho roe
flow floe prest pressed
mail male pistol pistil
hoo who resew resow
joule duel mandrill mandrel
based baste yew you
crosse cross sum some
senser censor new nu
pencel pencil wart wort
ayre are lay lea
eye aye foaled fold
cox cocks spec speck
forth fourth taut tort
sol sole tore tor
scents cense pocks pox
rapt wrapped woe whoa
nose noes sext sexed
sexed sext sole sol
sell cell tees teas
tier tire what wot
lessor lesser ton tonne
are ayre bussed bust
laze lase whirred word
mike mic tulle tool
clause claws holed hold
pore pour pes peas
lox lochs whorl whirl
fie phi laze leis
ilium ileum sewn sone
prase prays tacks tax
balm bomb cruse cruise
laid lade steel stele
fils fills wet whet
penitence penitents yolk yoke
bird burd lede lead
bazaar bizarre reseat receipt
coup coo literal littoral
foreword forward tale taille
bettor better pact packed
glair glare pouf poof
heeled heald tale taille
kyte kite repeel repeal
senser sensor prophecy prophesy
gaze gays roar raw
chaise shays luce loose
senser censer flocks phlox
hangar hanger red read
bolder boulder yaw you're
immanent imminent thrown throne
chanty chantey installation instillation
berg burg hock hough
pox pocks yule you'll
jalousie jealousy whack wack
burro burrow disc disk
lam lamb pear pare
nee neigh tracked tract
whore haw trust trussed
burley burly caste cast
cerate serrate torture torcher
canopy canape chitin chiton
flow floe neigh nae
knows nose weaner wiener
pix pics whither wither
flu flew frieze freeze
hoo who tighten titan
dissidence dissidents infusor infuser
sects sex wurst worst
manner manna shown shone
gored gourd hoc hock
bail bale locks lox
nix nicks rows rouse
cedar seeder hike haik
burley burly loose luce
coolly coulee hae heigh
nor gnaw heeled healed
forward foreward forte fought
ai i rote wrote
bologna baloney seraph serif
ceil seel teas tees
adulterous adulteress spade spaed
carat karat missable miscible
sewer sower vise vice
brane brain steal stele
hight height pours paws
loath loathe loon lune
peen pean whirled world
complement compliment guide guyed
claws clause tri try
chronicle chronical gaud gored
ayre eyre fawn faun
cheep cheap rude rood
box bocks cheap cheep
assistants assistance whine wine
are ere turbine turban
caws cause ley lei
bode bowed succulents succulence
braes braise mussed musth
fair fayre war wore
lieu loo sacques sax
flare flair room rheum
hall haul horde hoard
nose noes more maw
burger burgher nose noes
guest guessed pe pee
whole hole pall pawl
villein villain whale wail
flee flea phlox flocks
rhos roes teas tis
bight bite reseat receipt
beryl barrel locks lochs
cyst cist lune loon
aerie airy we'll weal
doe doh frees freeze
coulee coolie troop troupe
bused bussed lay lea
emerge immerge pried pride
door dor you'll yule
plainer planar weight wait
horse hoarse lode load
clue clew mode mowed
creek creak heeled healed
pectin pecten spae spay
pore pour terne tern
forgo forego vale veil
youse use prase praise
farrow faro pugh pew
sere cere planer plainer
all awl flew flu
illusion elusion sine sign
kneed knead mutual mutuel
bays beys cougher coffer
radical radicle spits spitz
core caw prophesy prophecy
feaze feeze firs furs
gored gaud kneed need
mustered mustard please pleas
confectionary confectionery till til
launce lance seaman semen
gnu new gofer gopher
adolescents adolescence muse mews
slough slue toed towed
crumby crummie feral ferule
slight sleight tell tel
cared caird cere sear
earn erne hey heigh
bays baize mutual mutuel
cedar seeder nee knee
ewes use fore for
deuce juice picks pyx
urn earn psalter salter
erne earn tuber tuba
rein rain raise raze
penni penny popery potpourri
oppose appose blare blair
bade bad jinks jinx
chiton chitin marten martin
gourd gorde paws pours
doh do nark narc
we wee wish whish
laze leas pistil pistol
eyre aire senses census
wrote rote seam seem
fennel phenyl villus villous
unreel unreal why wye
carrel carol six sics
tell tel while wile
cored chord see si
cantor canter raze rays
cole coal hanger hangar
erk irk summary summery
sync cinque rota rotor
gambol gamble mow mho
knows noes tocsin toxin
nob knob lam lamb
sign sine wynd whined
choose chews dine dyne
mantle mantel retch wretch
doh dough mews muse
basest bassist krater crater
erne earn gorde gored
gaud gorde mustard mustered
seal seel feign fane
buy bye cedar ceder
cosine cosign tartar tarter
new knew pupal pupil
graphed graft purest purist
chord cord waste waist
axil axel erupt irrupt
gild gilled limn limb
consent concent hail hale
adds adze tailor tailer
pistol pistil tocsin toxin
cozen cousin limn limb
razer razor your yaw
haul hall plain plane
knight night staff staph
lade leid manna manor
gyro giro picks pics
analyst annalist kohl cole
cash cache literal littoral
read red sine sign
lac lakh we'll weal
sault sue tack tach
sensor senser resistor resister
doughs does hoard horde
adventurous adventuress gin jinn
cursor curser syne sign
carrot karat graft graphed
blend blende you ewe
aerie eyrie sun son
rocky raki veracious voracious
high hi nock knock
color culler pencil pensile
dough do pinon pinion
altar alter boll bowl
hock hough weir we're
wright right si sea
belle bell sacques sax
disgust discussed mandrill mandrel
burger burgher jewel joule
grosser grocer peel peal
sexed sext vane vein
sachet sashay status statice
bruise brews minor mynah
loess less polar poler
ayre aire chitin chiton
kyu queue wholly holey
clique klick reek wreak
kyu cue sault sou
manor manner roes rose
dray drey expedients expedience
ease aes lowed load
cachou cashew wynn whin
serous cirrous mot mow
hose hoes wield wheeled
discrete discreet have halve
based baste fort forte
heel he'll nickle nickel
scents sense frees freeze
guild gilled racks wracks
court caught chair chare
pas par prints prince
awk auk sensor senser
adze ads terce terse
fowl foul leech leach
draught draft duel dual
littoral literal pix pics
bye by mark marque
complacent complaisant phrase fraise
basil basal wax wacks
mote moat sacques sax
rapped wrapped sole sol
confectionary confectionery main mein
brae bray royal roil
hae heigh stake steak
buy bi stork stalk
retarred retard sort sought
altar alter mac mack
pa pas peas pes
lama llama miner minor
mac mach rode rowed
bawled bald erne urn
forth fourth tailor tailer
core corps piece peace
seller cellar terce terse
assistants assistance seek sic
calyx calix slight sleight
cede seed rose roes
bar barre coy koi
might mite wish whish
grays graze too to
serous cirrus reed rede
fort forte variance variants
choir quire rondo rondeau
praise prase throne thrown
signet cygnet limb limn
ferrule feral trussed trust
forego forgo peon paean
psalter salter tody toady
carol carrel humerus humorous
meddle medal revue review
ceil seal cowered coward
emerge immerge pics picks
rax racks thyme time
acclamation acclimation resonate resinate
carries caries hurtle hurdle
coddling codling frees freeze
burro burrow roe row
passable passible sea see
crews cruse mustard mustered
bitt bit senate sennit
waist waste wise whys
carrot carat kraft craft
floe flow sort sought
lessen lesson sore saw
sax sacs their there
block bloc clique click
deviants deviance tael tale
yews use hays haze
cache cash coulis coolie
coquet coquette we whee
tell tel waist waste
pean peen pomace pumice
fane fain pore poor
pix picks stake steak
new nu sacks sax
toady tody tongue tung
asse as whined wynd
sigh scye route rout
pinon pinion sou sue
razor razer sprits spritz
equivalence equivalents flocs flocks
masque mask yaw your
pattern patten precedence precedents
carrot caret cop kop
cashew cachou maze maize
nob knob sower sewer
doh dough mind mined
bittern bitten caudal caudle
borough burro lay ley
buyer byre mynah miner
baud bawd douse dowse
caw corps graft graphed
bloc block mewl mule
i'd eyed phi fie
airy eyrie tole toll
bused bussed lee li
ley lei premier premiere
fete fate roe rho
ayre are crews cruse
kist cist inveighed invade
bored board miscible missable
build billed paw pour
hansom handsome toad toed
bell belle prior prier
crumby crummy oversees overseas
counselor councilor latches laches
mite might tern terne
missus misses shear sheer
nark narc wind wynd
read red whorled world
clew clue mutual mutuel
galley gally son sun
ordinance ordnance resew resow
incidence incidents wurst worst
barque bark rap wrap
brut bruit idle idyll
chukker chucker whack wack
nickle nickel plumb plum
yew ewe sac sacque
laze lase tier tire
bawl ball sheer shear
sac sacque staph staff
bann ban great grate
discussed disgust whither wither
ark arc clack claque
jinks jinx tacked tact
seer cere phial faille
pressor presser whys wise
box bocks sex sects
belligerents belligerence new gnu
dewed dude tease teas
castor caster fought forte
dual duel waste waist
